NumTrials=630, DotSize = 2, Nx = 192, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, AlternationRate
3,3,1.0808,30
-3,1,0.4669,7.5
3,1,0.58991,120
3,1,0.72819,120
3,3,0.51594,30
3,1,0.83546,0.0002
1,1,0.70336,15
-5,1,0.80941,15
5,1,0.56806,15
-5,1,0.50303,60
3,1,0.44069,30
3,3,0.71772,120
5,1,0.52276,15
-1,1,0.45437,30
-3,1,0.51018,0.0002
-3,1,0.87154,60
-1,1,0.44877,0.0001
5,1,0.50325,120
-1,1,0.58477,120
-3,1,0.56779,30
1,1,0.71998,60
3,1,0.74769,120
-1,1,0.51624,0.0002
5,1,0.58931,120
5,1,0.45107,60
1,1,0.55907,7.5
3,1,0.51692,60
-3,1,0.80806,60
5,1,1.8527,15
-3,1,0.61707,0.0001
-5,1,0.64287,120
-5,1,0.67749,60
5,3,1.0593,30
-5,1,0.63608,120
-5,1,0.41203,7.5
3,1,0.55345,60
-1,1,0.41949,0.0001
5,1,0.4773,30
3,3,0.33059,0.0001
-3,1,1.2692,0.0002
-3,1,0.38339,7.5
-3,1,0.33099,7.5
1,1,0.21495,7.5
-1,1,0.52159,15
-5,1,0.49936,30
5,1,0.62141,120
-5,1,0.4992,120
1,1,0.55069,0.0002
-3,1,0.43515,0.0002
1,1,0.64545,7.5
-3,1,0.54752,0.0002
-1,1,0.31249,0.0001
-3,1,0.57629,0.0002
1,1,0.3594,15
1,1,0.44402,60
3,3,0.48178,0.0001
1,1,1.0858,0.0002
5,1,0.62781,60
1,1,0.48052,0.0002
3,1,0.47341,120
5,1,0.54193,15
-1,1,0.35565,30
3,1,0.3667,120
-3,1,0.44414,60
3,1,0.50175,7.5
1,1,0.51715,30
5,1,0.53506,15
-1,1,0.38451,0.0001
-1,1,0.37939,120
5,1,0.59546,15
-5,1,0.34637,30
-5,1,0.32529,0.0002
-3,1,0.30842,7.5
-1,1,0.26889,15
3,1,0.32148,120
3,1,0.28459,7.5
5,3,0.57385,0.0001
5,3,0.61299,0.0001
3,3,0.62066,7.5
-5,1,0.94768,30
5,3,0.65492,7.5
3,3,0.46458,0.0001
-5,1,0.50665,0.0001
3,1,0.68239,0.0002
5,1,0.34883,60
-1,1,0.61354,60
-5,1,0.35275,15
-5,1,0.26023,0.0001
3,1,0.46194,0.0002
-3,1,0.52597,15
1,1,0.42138,30
1,1,0.37533,30
-1,1,0.34855,7.5
-5,1,0.30692,0.0002
-1,1,0.4474,0.0002
-3,1,0.34848,30
-1,1,0.58122,7.5
5,3,0.40727,7.5
1,1,0.41244,60
1,1,0.93506,60
3,1,0.61706,60
3,1,0.4873,15
1,3,0.98678,60
3,3,0.71058,15
5,3,0.67154,30
-1,3,0.66823,0.0002
-3,1,0.39238,60
-5,3,0.40498,0.0001
-5,3,0.63189,0.0002
-1,1,0.69416,0.0001
-1,3,0.66093,120
3,3,0.64442,30
-3,1,0.3864,0.0001
3,3,0.77249,60
1,3,0.67695,7.5
3,1,0.82035,30
3,1,0.92054,15
5,3,0.61564,30
-5,1,4.6596,30
5,3,0.82654,0.0002
5,1,0.59873,0.0002
-3,1,0.81195,30
1,3,0.57966,120
5,3,0.68144,0.0001
1,3,0.49576,15
-5,1,0.68623,0.0001
-5,1,0.40342,7.5
1,1,1.1302,120
-1,1,0.33746,15
-1,1,0.65122,120
3,3,0.44617,0.0001
3,3,0.66481,0.0001
-3,3,0.93727,15
-1,3,1.2149,15
3,3,0.44575,0.0001
1,3,0.81797,15
1,3,0.95936,7.5
-5,3,0.48133,7.5
5,3,0.70731,120
5,3,0.46578,120
-5,1,0.82489,7.5
3,3,0.52602,0.0001
-1,1,0.59781,30
-5,1,1.2013,120
3,3,0.7087,120
5,1,0.80297,60
-1,1,0.67812,7.5
-1,3,0.86417,15
-1,1,0.82574,15
-1,3,0.59679,60
-5,1,0.50082,0.0001
1,3,0.53751,0.0001
1,3,0.91243,0.0001
-3,3,0.61554,0.0002
1,1,0.59467,7.5
1,1,2.0396,0.0001
-1,1,0.75815,15
1,1,0.80566,120
