NumTrials=630, DotSize = 2, Nx = 192, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, AlternationRate
5,3,0.86178,60
5,3,0.72892,60
3,3,0.43849,0.0001
1,3,0.51835,0.0001
3,3,0.84727,15
5,1,0.49423,120
-5,1,0.32177,7.5
1,3,0.52864,7.5
1,3,0.51553,0.0001
3,3,2.8293,0.0001
-3,1,0.62959,15
3,3,0.60958,60
-3,3,0.81715,30
5,3,0.91135,15
-3,3,2.1038,0.0002
-1,1,0.54148,30
1,1,0.57484,0.0002
3,1,0.54488,120
-5,1,1.6038,15
5,3,0.77483,15
-1,1,0.46739,0.0001
-5,3,0.38067,60
-3,1,0.44634,15
-5,1,0.53304,120
-5,1,0.2209,0.0001
-1,1,0.72343,15
1,3,0.83684,30
-5,3,2.0173,120
1,3,0.46263,0.0001
3,3,0.73561,15
-3,3,0.4394,0.0002
5,3,0.66475,120
5,1,0.6512,120
-5,1,0.43256,0.0001
5,3,0.36144,120
3,3,0.42988,60
-3,3,0.63993,0.0002
5,3,0.46722,120
-5,1,0.88601,0.0002
5,1,0.8891,0.0002
-1,3,0.60336,60
5,3,0.85461,0.0001
-5,1,0.36729,15
1,3,0.53683,30
3,3,0.55052,60
5,3,0.36612,120
1,3,0.51919,30
1,3,0.43981,7.5
-5,3,0.71966,0.0002
-1,3,0.60894,30
-5,3,4.1388,60
-5,3,5.4164,30
-5,1,1.8961,0.0001
3,3,0.80771,120
3,3,1.2313,7.5
-1,3,0.81677,0.0002
-1,3,0.73987,60
3,1,0.55855,15
-1,1,0.79153,15
-3,1,0.8909,30
3,3,0.69007,7.5
-1,1,0.88488,120
-5,3,0.5732,120
-1,1,0.52471,0.0001
1,3,0.7884,0.0002
-3,3,0.8348,120
1,3,0.51444,60
-1,1,0.50521,0.0001
3,3,0.40385,15
-1,3,0.75073,30
5,3,0.71851,0.0001
-3,1,0.46402,7.5
3,1,15.5916,15
1,1,2.3316,7.5
3,3,0.75388,7.5
-3,1,1.3395,0.0001
-1,1,0.64252,7.5
-3,1,9.1735,0.0001
3,3,0.42662,0.0001
1,3,0.54529,7.5
