NumTrials=630, DotSize = 2, Nx = 192, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, AlternationRate
-3,1,8.8969,15
-1,3,3.3891,15
3,1,1.9912,0.0002
1,1,1.2465,120
-5,1,2.0305,0.0001
-1,3,2.1092,30
3,1,2.2618,0.0002
5,3,5.976,0.0001
5,3,5.5781,120
1,3,0.80218,7.5
1,3,1.0582,7.5
-5,3,1.1144,60
-1,1,0.85068,60
-1,3,0.67902,0.0002
-1,1,2.2152,60
-5,3,0.61405,120
-1,3,0.92896,120
3,3,1.3948,120
1,1,1.0547,120
1,1,4.9734,0.0002
1,3,0.81005,7.5
-5,1,0.57939,7.5
-1,1,0.53484,7.5
5,3,0.51468,7.5
3,3,2.0081,120
1,3,0.47335,15
5,3,2.2164,120
5,3,1.3021,120
-3,1,0.81271,120
3,3,0.49101,0.0001
-1,1,1.0293,120
1,3,0.42167,0.0001
5,3,0.39161,0.0001
-3,1,0.24772,0.0001
1,3,0.48964,30
-5,3,0.55733,120
5,3,0.44973,30
-1,1,0.86116,30
1,3,0.40946,60
5,3,1.0461,30
-5,1,0.92247,30
3,1,1.527,0.0002
1,3,0.60679,0.0001
1,3,0.82242,0.0001
-3,1,1.0026,0.0002
-1,3,1.1336,60
1,3,1.1261,7.5
3,3,0.9533,0.0001
5,1,1.1092,15
3,3,0.75437,15
-3,3,1.2411,0.0002
-3,1,0.84206,7.5
-1,3,2.3226,0.0002
-5,1,0.41004,7.5
-3,3,1.2304,60
5,3,0.72879,120
3,3,1.2212,0.0002
-3,1,1.2072,120
-5,1,1.0811,0.0002
1,3,1.7297,0.0002
3,1,1.6925,0.0002
3,1,1.7417,0.0001
-3,1,2.5602,15
-5,3,1.8115,0.0002
1,3,2.4438,60
-1,3,1.4722,15
3,1,1.4865,30
-5,1,1.7329,30
-3,1,0.8269,30
3,1,1.7783,0.0002
-3,1,0.4438,0.0001
-5,1,0.7939,15
-1,1,1.1834,7.5
-3,1,0.88073,7.5
-5,1,0.8143,7.5
3,1,0.84546,30
-3,1,1.0345,30
-1,1,2.1038,0.0002
-3,1,0.4649,7.5
-1,1,0.69103,30
-1,1,0.75472,0.0001
-5,1,0.61437,120
1,3,0.5012,7.5
3,1,0.89944,30
-3,1,1.5444,15
-1,1,0.87153,0.0002
-3,1,1.2687,120
1,3,0.42626,7.5
1,3,0.70213,0.0001
3,1,1.6159,60
3,3,0.53192,15
3,1,0.77407,120
1,3,0.66493,0.0002
3,1,0.92121,120
-5,1,0.89276,0.0002
-1,3,2.4408,0.0002
3,1,0.8787,30
5,1,2.4834,30
-5,1,1.6522,15
-5,3,1.5756,0.0002
-5,1,2.7425,60
1,3,3.6579,120
-5,1,0.64167,7.5
-1,1,2.882,60
-3,1,0.6335,0.0001
5,1,1.6015,120
-5,3,1.2504,30
5,3,0.74706,7.5
-1,1,3.4158,120
-5,1,0.94825,15
-5,1,0.56236,7.5
-5,3,1.2509,0.0002
5,3,0.588,0.0001
1,3,0.85837,15
5,3,0.42422,15
5,1,1.4996,60
-3,1,0.63943,0.0001
3,3,1.4702,120
5,3,1.0846,0.0002
5,3,0.61575,15
-5,1,0.77608,15
5,3,1.4083,15
-3,3,1.003,120
3,1,1.6635,120
3,1,1.6332,30
3,3,2.9125,120
-3,3,0.66252,60
5,3,0.48355,0.0001
-3,1,0.25281,7.5
-1,1,1.5859,120
-1,1,0.45987,7.5
-5,1,0.68324,0.0001
-1,1,0.46088,15
-3,1,0.28055,30
-3,1,0.28276,7.5
-1,1,0.65843,7.5
3,1,1.387,60
1,3,1.0354,15
5,1,4.08,60
-5,1,1.5245,0.0001
5,3,3.3033,0.0002
-5,1,1.2202,120
-1,3,1.9876,60
3,3,1.3421,7.5
5,3,0.89293,0.0001
-5,1,0.60759,15
-5,1,3.4217,0.0002
5,3,0.75845,0.0001
3,3,1.1202,0.0001
5,1,2.0428,120
5,3,1.0291,15
-5,1,0.77022,15
-3,3,4.5741,0.0002
5,1,1.3374,60
-1,1,2.3506,120
-1,1,1.0557,30
1,1,1.4058,0.0002
-1,1,1.5564,0.0002
1,1,1.7812,30
3,1,1.299,30
3,3,0.89615,15
5,1,1.3387,30
-1,1,2.0549,15
-5,1,0.25373,0.0001
5,3,0.82597,0.0001
-3,1,0.62027,7.5
1,1,1.3196,120
3,3,0.86098,0.0001
-5,1,0.57583,120
-3,1,2.4399,60
-1,1,1.119,7.5
-5,1,0.64545,7.5
-3,1,0.57986,30
5,1,1.511,0.0002
-1,1,0.85329,7.5
-5,1,0.47839,7.5
5,3,1.2608,120
3,3,2.1873,60
1,1,0.40084,30
1,3,0.79021,0.0001
1,3,2.268,120
-3,1,0.44992,30
-1,1,1.2317,0.0001
-1,1,1.2323,15
-5,1,1.9378,7.5
1,3,0.74116,15
3,3,2.0854,0.0002
1,1,1.274,60
5,3,0.45659,0.0001
1,1,0.62284,15
3,3,1.1434,120
-3,1,0.59649,0.0001
1,1,1.9624,60
5,3,0.68319,15
-1,1,2.3338,60
-5,1,2.4504,60
-1,1,1.5768,0.0001
3,3,0.82781,60
5,3,2.3843,30
1,1,1.1671,0.0002
-5,3,0.57003,60
-3,1,0.78813,0.0002
-5,1,2.1568,60
-1,1,0.45262,15
3,3,0.34936,0.0001
3,3,0.7439,0.0001
-3,1,1.4534,60
5,3,0.48223,7.5
1,3,0.52808,7.5
5,3,0.5811,15
-3,1,0.46643,7.5
-5,1,1.8651,30
-5,1,1.2508,0.0002
-1,1,0.7425,0.0001
1,3,0.5067,30
3,3,0.8752,30
5,3,0.74657,15
3,1,1.5813,30
1,3,0.7928,7.5
3,3,1.6706,0.0002
-5,3,2.7581,60
-5,1,0.43317,7.5
-5,1,2.5473,60
3,3,1.4018,120
3,3,1.3153,0.0001
1,3,0.3287,15
1,1,1.3404,0.0002
-3,1,2.1021,60
5,3,0.50676,30
3,3,1.0948,60
-5,1,1.2818,0.0002
3,1,1.092,60
5,3,1.0421,7.5
-5,3,1.5774,0.0002
-3,1,1.7916,0.0001
-5,1,1.4336,60
1,3,1.5613,15
-3,3,1.6197,120
-3,1,0.32596,0.0001
3,3,0.9638,0.0001
-1,1,1.765,120
-1,3,1.8293,120
-3,1,0.54047,15
3,3,0.68594,15
-3,1,1.224,30
-1,1,1.2589,60
3,3,0.90668,7.5
-1,1,0.74294,15
-3,1,0.39823,0.0001
-5,3,0.91649,0.0002
-3,3,0.63837,60
5,3,2.5983,0.0002
5,3,0.81342,7.5
5,3,0.94177,0.0001
-1,1,0.53704,15
3,3,0.42925,15
-5,1,0.32661,15
-5,1,0.5059,30
5,1,1.417,120
3,3,0.48925,15
5,3,0.59246,30
-1,3,0.96755,0.0002
5,1,1.5661,120
3,3,1.221,7.5
-5,1,1.5791,0.0002
-1,1,0.91261,120
5,3,0.83644,30
1,3,0.83131,60
-1,1,0.33672,0.0001
-1,3,1.7504,120
-1,1,2.0151,120
3,3,0.63091,15
1,3,0.72293,7.5
-3,1,1.0471,0.0002
-3,3,1.0086,120
-1,1,1.0988,0.0001
-1,1,1.3206,30
3,3,1.0635,30
1,3,0.38621,0.0001
1,3,2.2609,60
-3,3,1.6275,0.0002
-3,3,1.854,120
3,3,1.5611,30
3,3,1.7501,120
-3,1,0.82195,120
-5,1,0.77235,120
-5,1,0.92091,0.0002
1,3,0.82918,0.0001
1,1,1.5998,120
-5,1,0.64709,0.0001
5,3,0.84611,7.5
1,3,1.1643,0.0001
-5,1,1.4059,120
5,3,1.606,60
3,3,0.78985,0.0001
5,3,0.23297,60
3,3,0.22374,7.5
3,3,1.0426,0.0001
-3,1,0.42552,15
1,3,0.727,15
5,1,2.2756,60
1,1,0.73609,60
1,1,0.88431,60
-5,1,1.0188,15
-3,3,1.058,30
-5,1,0.92685,15
1,1,1.6872,30
-1,1,2.1329,120
-1,1,0.97703,30
1,3,0.99205,120
1,3,1.0951,60
-1,1,1.7609,0.0002
-3,1,1.4445,120
5,3,0.47554,15
-3,1,1.1986,60
-1,1,0.53889,7.5
-1,3,1.5281,30
3,1,0.88026,7.5
-3,1,1.5061,0.0001
-3,1,0.90174,120
-3,3,0.60619,0.0002
-1,1,0.2428,0.0001
-5,3,0.62928,60
3,1,0.2288,7.5
5,3,0.8001,15
-5,1,0.48998,15
1,3,0.46051,0.0001
3,3,1.0695,7.5
3,3,0.51426,0.0001
3,1,0.9815,0.0002
-5,1,0.72054,15
-1,1,0.46782,15
-1,1,1.3146,0.0001
5,1,0.49954,60
1,1,1.5774,30
5,3,0.83335,0.0001
5,1,1.0759,0.0002
-3,1,0.26878,15
-5,1,0.22389,0.0001
-1,1,2.072,30
5,3,0.9612,30
-5,1,1.4136,120
5,3,1.2386,0.0001
5,3,2.2824,120
-1,1,0.42659,15
5,1,1.1121,7.5
-1,1,0.7686,60
1,3,0.99171,0.0001
1,3,1.9517,0.0002
1,3,0.97474,15
5,1,0.80913,30
3,1,1.0811,60
-3,1,1.4917,0.0002
-3,1,0.44923,0.0001
1,3,0.42515,7.5
3,3,0.53984,7.5
-5,1,2.4056,60
1,3,1.666,30
-1,3,1.1476,0.0002
-3,1,0.99141,0.0002
1,1,0.46782,120
3,3,0.84917,15
-3,1,1.2554,120
5,1,2.3292,30
1,3,1.334,15
-3,1,2.93,0.0002
5,3,2.4853,0.0002
-5,1,1.3734,30
3,1,1.4189,120
-3,1,0.67438,0.0001
-5,3,1.2916,0.0002
-1,1,0.6058,15
5,1,1.2439,60
-5,1,1.1887,15
-5,1,0.33482,0.0001
-3,3,1.6737,120
-1,1,1.0796,30
-1,3,1.1029,0.0002
-1,3,0.58716,30
3,1,1.9256,60
3,1,1.3891,30
3,1,0.61008,120
1,1,1.3642,30
-5,3,0.3841,30
3,3,0.7554,0.0001
-3,3,1.2685,0.0002
-5,1,2.2263,120
-3,1,0.93164,0.0002
5,3,0.26082,7.5
1,3,1.2118,120
3,1,1.7447,0.0002
5,3,0.96977,7.5
5,3,0.35996,7.5
5,3,0.63977,60
-5,1,0.36037,7.5
-1,1,0.41401,0.0001
-3,1,0.69269,60
-5,1,1.0214,120
1,3,0.92022,15
-5,1,0.81137,120
5,3,0.41866,7.5
-5,1,0.95772,60
3,1,1.6015,120
1,3,0.73675,7.5
5,1,0.4602,120
-3,1,0.72132,7.5
3,1,1.8835,30
-3,1,1.2321,0.0002
-3,1,0.48239,0.0001
3,3,0.38024,0.0001
-5,1,0.32621,0.0001
3,1,0.86326,60
-5,1,0.46399,15
1,1,0.55312,0.0002
-3,1,0.32244,7.5
-1,1,0.85158,0.0002
-5,1,0.89833,0.0002
-3,1,1.7876,30
3,1,1.0604,60
5,3,0.42149,0.0001
5,3,0.64395,15
3,3,0.75299,0.0001
3,3,2.5077,60
-1,1,1.3959,30
5,3,0.68096,0.0001
1,1,0.82798,120
3,3,0.78145,0.0002
5,3,0.8778,0.0002
-3,1,0.49153,15
-1,1,0.40872,0.0001
-3,1,1.0629,7.5
1,3,0.7512,15
3,3,0.47268,7.5
-3,1,0.68848,15
1,1,0.87467,60
-5,1,0.89454,0.0001
3,3,1.4881,30
-5,1,0.59639,15
3,1,0.61079,60
3,3,0.53309,15
-5,1,0.63094,120
3,1,1.1557,60
-3,1,2.0731,60
-3,1,0.2901,0.0001
-1,1,0.27167,0.0001
1,3,0.75138,30
5,3,0.57879,15
-1,3,0.93889,120
-5,3,0.52393,60
1,1,0.56656,30
1,3,0.56293,120
-3,3,0.97517,60
-5,1,1.1601,120
3,1,1.2608,0.0002
3,3,0.86387,0.0002
-5,1,0.24476,0.0001
1,1,1.142,30
-3,1,2.7132,120
-5,3,1.3283,60
1,3,1.3122,30
