NumTrials=630, DotSize = 2, Nx = 192, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, AlternationRate
-5,1,0.47114,120
-1,3,0.24869,0.0002
5,3,1.565,0.0001
-5,1,0.30332,60
-3,1,0.31004,0.0001
-1,1,0.24433,30
-5,1,0.24718,7.5
-1,3,0.22207,0.0002
1,3,0.23066,120
-1,1,0.27143,0.0001
3,3,0.28107,0.0001
1,1,0.21907,120
-5,1,0.33442,7.5
1,3,1.4818,7.5
1,3,0.46631,15
-1,1,0.26319,120
1,1,0.35053,60
-1,1,0.34975,0.0002
-1,1,8.5477,120
3,3,0.88574,15
5,3,0.94431,0.0001
3,3,0.38771,0.0001
3,1,0.33531,0.0002
1,1,0.43942,0.0002
3,3,0.33688,7.5
-1,1,0.25652,0.0001
3,3,0.2961,30
-5,1,0.28512,120
-5,1,0.66394,30
5,3,0.32092,0.0001
5,1,0.26578,7.5
-3,1,0.35797,0.0001
3,3,0.32123,30
-3,1,0.22888,60
-3,1,0.22021,15
-1,3,0.25554,120
3,1,0.21649,0.0001
-3,1,0.29824,7.5
1,1,0.42377,30
5,1,0.29005,60
-1,1,0.26414,0.0002
1,3,0.20989,60
-3,3,0.27435,30
3,3,0.22199,120
-1,1,0.25388,120
3,3,0.37409,0.0001
1,1,0.24363,60
5,1,0.33535,60
-3,3,0.3558,0.0002
-5,3,0.30485,120
-1,1,0.27378,30
5,3,0.26386,0.0002
3,1,0.29575,60
5,1,0.23932,15
-1,1,0.32283,7.5
-1,3,0.3251,30
5,3,0.31261,30
-1,1,0.66358,120
-5,1,0.28609,0.0002
3,3,0.31251,15
-3,1,0.38545,30
-5,1,0.29531,0.0001
1,3,0.35122,120
-3,1,0.26148,15
-5,1,0.21228,0.0001
1,3,0.3008,15
-5,1,0.22845,0.0002
3,3,0.23327,15
-1,1,0.25591,15
1,3,0.20514,0.0001
-3,1,0.26394,7.5
5,3,0.26099,0.0001
-3,1,0.30854,0.0002
5,3,0.2698,120
5,3,0.28138,7.5
5,1,0.20893,60
3,3,0.24916,120
3,3,0.3033,7.5
3,3,0.27968,15
1,1,0.31883,0.0002
1,3,0.28705,7.5
3,1,0.26964,120
-3,1,0.27696,0.0001
1,3,0.27363,15
5,1,0.27386,0.0002
3,3,0.2898,30
-3,1,0.21475,0.0002
-3,1,0.20447,0.0002
1,3,0.38955,30
-5,3,0.24354,60
-5,1,0.20436,7.5
3,3,0.46833,60
1,3,0.28716,7.5
-3,1,0.26071,120
3,3,0.26476,120
3,3,0.26499,0.0001
-5,1,0.34742,30
-5,1,0.26736,7.5
-3,1,0.398,15
-5,1,1.6534,15
3,3,0.27636,15
-1,1,0.45289,15
-1,3,0.20694,60
-1,1,0.35695,0.0001
5,3,0.22076,7.5
1,3,0.30849,0.0001
-1,1,0.25615,120
3,3,0.21697,7.5
3,3,0.25321,7.5
3,3,0.22554,60
5,1,0.20771,120
3,3,0.21545,120
1,1,0.28662,0.0002
1,3,0.27963,60
-3,3,0.2685,60
5,3,0.26102,7.5
-5,1,0.23173,0.0002
3,1,0.2099,60
3,3,0.39989,30
3,3,0.21193,15
3,1,0.21105,30
1,1,0.21217,0.0002
5,3,0.24603,60
1,1,0.20605,120
5,3,2.2684,0.0001
5,3,0.91572,0.0001
1,3,0.32669,0.0001
5,1,0.23939,0.0002
3,3,0.27212,15
3,3,0.22358,30
-5,1,0.22594,0.0001
5,1,0.21044,0.0002
-1,1,0.30853,7.5
1,3,0.34381,60
-5,3,0.34753,60
-1,1,0.28915,0.0001
3,1,0.28062,30
5,3,0.44098,0.0001
-5,1,0.31406,7.5
-3,1,0.32152,15
-5,3,0.46097,30
-1,1,0.29538,120
3,3,0.55099,7.5
-1,1,0.30629,0.0001
-1,1,0.30142,15
5,3,0.34436,15
-5,1,0.29011,30
-3,1,0.22837,7.5
-1,1,0.32319,120
-1,1,0.26301,0.0002
5,3,0.38148,0.0002
-3,1,0.30725,30
-5,1,0.38771,15
-3,1,0.5387,60
-3,3,0.3167,60
-5,1,0.76915,15
1,3,0.52956,15
-3,1,0.20694,15
3,3,0.2088,0.0002
3,3,0.26,15
1,1,0.31354,60
-1,1,0.25643,30
5,1,0.35644,60
1,3,0.27597,30
-3,1,0.23847,0.0001
-1,3,0.20907,60
1,3,0.28365,0.0001
3,1,0.2248,120
-5,1,0.22979,60
5,3,0.27465,0.0001
-1,1,0.37095,15
-1,3,0.38656,60
-3,1,0.27339,60
-5,1,0.2261,120
-1,1,0.22204,30
1,3,0.30013,7.5
3,3,0.42193,120
-3,1,0.34513,0.0002
-1,1,0.23081,7.5
5,3,0.27688,15
5,1,0.32464,0.0002
-3,1,0.33997,7.5
1,3,0.22619,0.0002
5,1,0.26695,60
1,3,0.27303,7.5
-5,1,0.22883,0.0001
-5,1,0.22588,120
-3,1,0.27611,15
-1,1,0.228,120
-5,1,0.30355,120
-1,1,0.36029,30
5,3,0.30246,7.5
5,1,0.30028,120
-1,3,0.31792,0.0002
-5,3,0.33609,120
-1,1,0.28123,15
-1,1,0.22279,7.5
-5,1,0.22039,0.0001
-5,1,0.22999,0.0002
-5,3,0.2469,60
3,3,0.25973,30
-5,1,0.23296,0.0002
-3,1,2.9416,30
-3,1,0.24882,0.0002
3,3,0.22565,30
-1,1,0.22312,30
-5,1,0.24031,120
5,3,0.25626,30
-5,3,0.2318,0.0002
-3,1,0.27993,120
-1,1,0.32931,15
-3,1,0.22843,120
5,3,0.22453,0.0002
5,3,2.5419,15
-1,1,0.37618,30
1,3,0.28759,0.0001
1,3,0.39102,0.0002
1,3,0.23966,7.5
5,3,0.28873,15
-1,1,0.24441,30
-1,1,0.26476,0.0002
5,3,0.24654,120
-1,1,0.24513,0.0001
-3,1,0.23713,30
-5,1,0.2472,0.0001
-3,1,0.22461,30
3,1,0.23059,0.0002
3,3,0.23525,0.0001
3,1,0.23358,60
5,3,0.22396,7.5
1,3,0.24397,15
-3,1,0.24174,60
-5,1,0.25636,120
1,3,0.22557,7.5
-5,1,0.40824,15
3,3,0.36783,7.5
-1,1,0.2321,15
-3,3,0.27348,120
1,3,0.2963,7.5
3,3,0.41321,0.0002
-1,1,0.22824,120
-1,3,0.268,15
-3,1,0.25917,0.0002
5,3,0.24663,30
1,1,0.26661,60
-3,3,0.22636,0.0002
5,1,0.23306,0.0002
1,3,0.22396,30
-5,1,0.25021,15
1,3,0.34398,120
1,1,0.31648,30
-5,1,0.23563,7.5
-3,1,0.2726,7.5
-1,3,0.2296,0.0002
1,3,0.27774,7.5
3,1,0.22288,0.0002
1,1,0.22559,60
5,3,0.22628,60
3,3,0.25609,7.5
-1,1,0.23784,60
-1,1,0.22645,0.0001
-1,3,0.25646,0.0002
-5,1,0.22876,0.0001
-5,1,0.49879,120
-1,3,0.25742,0.0002
-3,1,0.25275,7.5
5,3,0.27822,7.5
-5,1,0.29633,0.0001
-1,3,0.23435,0.0002
-3,3,0.33296,120
3,1,0.22627,120
-5,3,0.34692,60
-3,1,0.25788,7.5
-3,1,0.25464,7.5
-5,3,0.23746,60
5,3,0.33087,120
5,3,0.27764,30
-5,3,0.27218,60
-5,1,0.24395,15
5,3,0.26839,15
-3,1,0.23644,7.5
-5,3,0.30517,60
-3,3,0.27135,120
-3,1,0.22704,15
-1,1,0.26649,0.0001
5,3,0.30273,30
-1,1,0.23335,30
5,1,0.22519,120
5,3,0.38112,15
-5,1,0.35713,0.0002
5,3,0.22648,15
-5,1,0.23852,15
5,1,0.2939,120
1,3,0.25719,0.0001
5,3,0.30944,0.0001
1,3,0.22201,7.5
3,3,0.34569,15
5,3,0.47408,7.5
-1,1,0.23362,60
5,3,0.22287,60
5,3,0.23322,30
1,1,0.24167,0.0002
3,3,0.24442,7.5
3,3,0.28937,15
1,1,0.22581,7.5
3,3,0.24079,60
-5,1,0.30646,7.5
-3,1,0.24765,7.5
-1,1,0.3895,7.5
-1,3,0.41255,60
-1,1,0.22424,30
3,1,0.44186,7.5
1,1,0.26379,120
1,1,0.30542,60
3,3,0.27118,30
1,1,0.23223,15
-5,1,0.30997,0.0002
-5,1,0.22881,0.0001
-3,1,0.23287,15
-5,1,0.34786,60
3,1,0.48314,60
5,1,0.27201,120
5,3,0.23658,15
1,1,0.3706,0.0002
1,3,0.22464,30
-5,1,0.27014,30
-3,1,0.22657,0.0001
1,1,0.28195,15
3,3,0.23365,0.0002
-5,1,0.2251,30
-5,1,0.24974,30
1,1,0.34027,30
-3,1,0.32155,0.0002
1,1,0.26367,120
1,1,0.25106,0.0002
-3,1,0.22587,30
-3,1,2.7098,30
1,3,0.42129,30
-1,3,0.25325,30
1,3,0.23162,0.0001
-3,0,0.23162,60
1,3,0.27707,0.0001
-3,1,0.22576,30
-5,3,0.30976,60
5,1,0.34456,60
5,3,0.40967,7.5
-5,1,0.22393,0.0002
-5,1,0.23332,0.0002
5,1,0.22762,0.0002
-1,1,0.26114,60
1,3,0.32853,7.5
-5,1,0.22556,120
-5,1,0.23289,7.5
3,1,0.3171,60
-3,3,0.23135,30
-5,1,0.22807,0.0002
-1,1,0.22602,7.5
-5,1,0.22669,60
5,3,0.22648,30
-3,1,0.23325,15
-3,1,0.26521,15
-1,1,0.30801,0.0002
5,1,0.23106,0.0002
-3,1,0.31026,0.0001
5,1,0.29241,60
1,1,0.41643,120
-3,1,0.28395,15
5,1,0.32128,120
-3,1,0.27545,60
-1,1,0.22558,7.5
-5,1,0.26342,15
-5,3,0.22494,30
1,3,0.49681,7.5
5,3,0.22576,30
5,3,0.23776,0.0001
-5,1,0.22445,7.5
5,3,0.28547,7.5
5,1,0.23866,0.0002
1,1,0.22336,60
1,3,0.22938,120
3,3,0.2253,7.5
1,3,0.22218,15
-1,1,0.24581,0.0001
-1,1,0.22369,7.5
3,1,0.29127,0.0002
3,3,0.22254,0.0001
-3,1,0.371,15
3,1,0.27007,0.0002
5,3,0.40824,0.0001
3,3,0.47119,30
1,3,0.68122,30
-5,1,0.25557,30
5,3,0.50034,120
-1,1,0.29395,7.5
-5,1,0.43821,30
3,3,0.26816,60
5,1,0.27497,0.0002
3,3,0.27169,0.0001
1,3,0.30146,15
-1,1,0.24393,0.0001
1,1,0.2748,60
-1,1,0.30295,7.5
-3,1,0.22731,0.0001
-1,1,0.22823,0.0001
3,3,0.24755,15
5,1,0.25881,60
-3,3,0.27615,60
3,1,0.32066,0.0002
-3,1,0.26087,0.0001
1,3,0.27297,60
5,1,0.22563,60
-1,1,0.22932,7.5
-1,1,0.23697,120
-3,3,0.22317,0.0002
-3,1,0.24457,60
3,1,0.22915,120
-3,1,0.23904,0.0001
-5,1,0.24531,7.5
-5,1,0.35857,7.5
3,3,1.8526,15
-1,1,0.25846,0.0001
5,1,0.26421,120
-5,1,0.23441,7.5
-1,1,0.33818,60
5,3,0.25734,0.0001
-3,1,0.35932,0.0002
-1,1,0.26185,30
5,3,0.27403,15
-3,1,0.22747,7.5
1,1,0.28389,0.0002
5,3,0.25949,30
-3,1,0.36267,120
1,3,0.31317,15
-5,3,0.26362,60
-1,1,0.24548,0.0001
1,1,0.223,0.0002
3,3,0.22988,120
-3,1,0.25815,0.0002
-5,1,0.2218,15
-5,3,0.23734,120
-1,1,0.27726,0.0002
3,3,0.30639,0.0001
5,3,0.2352,15
5,1,0.28818,0.0002
5,3,0.34139,7.5
-5,1,0.23667,7.5
1,1,5.17,0.0002
3,3,0.43009,0.0001
1,1,0.23183,0.0002
-3,3,0.2865,120
-3,1,0.60569,60
-3,3,0.26431,120
-1,1,0.23253,15
-3,1,0.31558,0.0001
-3,1,0.26034,15
1,3,0.22521,7.5
-5,1,0.23112,0.0001
1,3,0.23253,30
-5,3,0.24804,60
-3,1,0.28434,7.5
-3,1,0.40117,120
-1,3,0.30249,60
3,3,0.41111,120
-1,1,0.35211,7.5
-3,1,0.22959,0.0002
-1,1,0.32137,0.0002
-5,1,0.29988,7.5
-3,1,0.23139,30
1,3,0.22888,15
3,1,0.31204,120
-3,3,0.2638,120
-3,1,0.24246,120
5,3,0.25726,30
3,3,0.24767,30
1,1,0.27652,60
5,3,0.29433,15
3,1,0.23478,0.0002
5,3,0.22567,120
-1,1,0.38342,15
-1,1,0.23283,7.5
3,1,0.32045,120
-3,1,0.23235,0.0001
1,3,0.30687,0.0001
5,3,0.30401,30
3,1,0.23925,60
1,3,0.26647,0.0001
1,1,0.28352,120
-1,1,0.22573,7.5
5,3,0.22752,0.0001
5,1,0.28732,15
-5,3,0.4891,120
5,3,0.2582,0.0001
-3,1,0.31918,120
-5,1,0.42299,0.0002
5,1,0.43078,0.0002
-3,1,0.38237,60
3,3,0.32744,15
5,1,0.39469,30
-1,3,0.39409,120
-5,1,0.24532,0.0001
-1,1,0.50751,120
-3,3,0.22514,60
3,3,0.26938,30
-3,3,0.23444,120
-3,1,0.2371,0.0001
-3,1,0.30112,15
-3,1,0.2787,7.5
3,3,0.31979,7.5
1,3,0.22563,30
-3,1,0.22275,7.5
1,3,0.30652,0.0001
-5,1,0.32142,30
5,3,0.35834,15
1,1,0.25417,0.0002
1,3,0.36108,0.0001
-3,1,0.22373,120
3,1,0.46459,60
1,1,0.31727,30
3,3,0.30943,7.5
-3,1,0.38375,30
1,3,0.78887,15
3,1,0.59929,0.0002
5,3,0.50012,7.5
3,1,0.28921,120
-1,1,0.25223,15
-3,1,0.24735,7.5
3,3,0.22844,0.0001
-3,1,0.22919,0.0001
-1,1,0.29094,60
5,3,0.58489,7.5
-3,1,3.4779,30
-3,1,3.3483,0.0002
1,1,0.23622,120
1,1,1.3721,30
1,1,0.26851,7.5
3,3,0.28083,60
-5,3,0.39386,30
-1,1,0.24264,60
3,3,0.33625,15
-1,1,0.22236,15
1,3,0.31996,120
-5,1,0.31672,15
-3,1,0.28211,30
-1,3,0.25811,60
-1,1,0.32617,0.0001
1,3,0.22811,0.0001
-3,3,0.31104,30
-5,1,0.29342,30
5,3,0.29414,120
1,3,0.28969,15
-5,1,0.27062,120
1,3,0.26778,30
5,3,0.23334,7.5
5,3,0.33157,15
1,3,0.2315,30
5,3,0.24354,7.5
-3,3,0.23197,60
5,1,0.2878,120
5,3,0.2471,120
-3,1,0.28143,15
5,3,0.27275,30
-1,1,0.29821,15
3,3,0.38925,60
-1,1,0.31491,60
3,3,0.41582,7.5
-5,1,0.34126,15
-3,1,0.33216,0.0001
1,3,0.28795,60
3,3,0.26399,7.5
3,3,0.27083,0.0001
-1,1,0.24089,120
-5,1,0.31524,15
-3,1,0.23319,0.0001
1,3,0.23259,15
3,3,0.23364,15
3,1,0.26929,30
1,3,0.32347,15
-1,1,0.23301,30
-5,1,0.31089,30
5,3,0.23081,60
3,3,0.24347,7.5
3,3,0.23646,0.0001
-1,1,0.22892,60
5,1,0.28129,60
-1,3,0.24902,30
3,1,0.23234,60
1,1,0.25738,60
-5,1,0.26731,15
5,3,0.24838,30
1,1,0.25978,120
-1,1,0.32334,120
5,1,0.28358,60
-1,1,0.26372,0.0001
1,3,0.23739,0.0002
3,3,0.24274,0.0001
1,3,0.26358,0.0001
-5,1,0.24082,120
-5,1,0.38938,15
5,3,0.24948,0.0002
3,3,0.25716,0.0002
-5,1,0.24831,15
5,3,0.26736,0.0001
-1,1,0.2746,0.0002
1,3,0.22294,0.0001
-5,1,0.24637,7.5
-5,1,0.23007,0.0001
-3,3,0.24221,60
5,3,0.22533,30
-5,1,0.22236,60
3,1,0.25023,0.0002
-1,1,0.38097,15
3,3,0.22898,0.0002
-5,1,0.25267,0.0001
3,3,0.23746,30
3,3,0.277,0.0001
-3,1,0.23395,0.0002
-5,3,0.24422,0.0002
-1,3,0.24135,60
-5,1,0.24273,0.0002
1,1,0.27902,120
-1,1,0.22364,7.5
-5,1,0.23125,0.0001
-5,1,0.22306,30
-1,1,0.2572,15
3,1,0.2507,0.0002
1,3,0.22302,120
-5,1,0.52508,0.0002
3,3,0.23312,60
-5,1,0.28567,0.0001
3,1,0.48533,120
