NumTrials=630, DotSize = 2, Nx = 192, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, AlternationRate
-3,1,15.2179,7.5
-5,3,0.82325,60
-3,3,0.89028,0.0002
-3,1,0.55957,0.0001
5,3,0.4988,120
3,3,0.53355,0.0002
-3,1,0.62057,7.5
3,3,0.54709,30
1,3,0.9337,30
5,1,0.90479,15
5,1,1.584,15
1,1,0.67096,15
3,1,0.55141,0.0001
-5,1,0.96308,7.5
-5,1,0.42515,0.0002
-1,1,0.6336,15
5,1,0.74443,60
5,1,0.65772,60
-3,1,0.64893,15
3,1,0.67469,0.0001
3,3,1.4932,30
-3,3,1.1199,0.0002
5,1,2.8552,120
-1,1,1.2517,15
5,1,0.5785,0.0001
-5,1,0.74883,60
-3,1,0.42337,7.5
3,1,0.2501,0.0001
-1,1,0.32867,0.0001
3,1,0.59566,7.5
3,1,0.3285,15
1,1,0.25191,30
-3,1,0.46251,7.5
-1,1,0.2538,30
5,1,0.5235,30
-3,1,0.41017,60
1,1,0.4595,0.0001
1,1,0.47159,0.0002
-3,1,0.35824,120
3,1,0.40112,0.0001
-1,1,0.45039,7.5
-1,1,0.31099,7.5
5,1,0.31737,0.0001
1,3,0.6549,7.5
5,3,0.66931,15
-5,1,0.37265,0.0002
-5,1,0.20572,0.0001
-1,1,0.20979,0.0001
5,1,0.22698,7.5
1,3,0.37021,7.5
-5,1,0.36895,120
-1,3,0.56752,15
-5,1,0.59634,15
-5,3,0.56778,0.0002
5,1,0.43141,120
3,1,0.30957,30
-5,1,0.46469,30
3,3,0.4607,15
-1,1,0.24216,0.0002
3,1,0.3313,120
3,1,0.57403,0.0001
-5,3,0.27809,120
5,1,0.38138,0.0001
-1,3,0.31762,120
-1,1,0.29556,60
-1,1,0.36612,30
-5,1,0.54977,120
-3,3,0.42624,120
3,3,0.45913,0.0002
-1,1,0.27779,0.0001
1,3,0.38166,0.0002
3,1,0.25687,0.0002
-1,1,0.23548,0.0002
-5,1,0.48507,15
-3,3,0.5534,60
5,1,0.64749,30
-5,1,0.20962,7.5
-5,3,0.41116,0.0002
5,1,0.23838,15
-5,1,0.28233,120
-1,1,0.21188,30
-3,3,0.39746,60
-5,1,0.2415,60
5,1,0.28544,0.0001
1,1,0.2109,0.0001
5,1,0.45475,0.0002
1,3,0.42588,15
-3,1,0.85151,0.0002
5,3,0.3104,30
-3,1,0.20489,7.5
5,3,0.46471,60
-3,1,0.23152,30
-1,3,0.41318,7.5
-3,1,3.0051,7.5
3,1,0.30719,30
3,1,3.3259,0.0001
-1,3,0.20556,60
5,1,0.20448,15
5,1,0.21185,0.0001
5,3,0.25964,0.0002
3,1,0.21073,7.5
5,1,0.20818,7.5
1,3,0.21113,0.0002
5,1,0.20689,15
-3,3,0.31533,120
3,1,0.20993,0.0002
1,1,0.20715,0.0001
-5,3,0.21216,15
5,1,0.29082,7.5
-5,3,0.36898,120
1,3,0.34881,0.0002
-3,1,0.23654,120
1,3,0.23599,15
5,3,0.26271,7.5
-5,1,0.20658,0.0001
-3,1,0.20433,0.0001
-3,3,0.20749,0.0002
-5,3,0.28265,120
-1,1,0.20924,120
1,3,0.21232,0.0001
-3,3,0.26451,30
-1,3,0.35952,7.5
1,1,0.21593,15
-3,1,3.8945,7.5
-1,1,0.3447,0.0001
5,3,0.49971,0.0001
5,3,0.52063,60
1,3,0.47165,60
-3,3,0.33128,15
-1,1,0.36256,7.5
1,1,0.2553,120
5,1,0.39651,15
-3,3,0.22512,15
3,1,0.20731,0.0001
1,1,0.26482,7.5
-3,3,0.23637,30
-5,1,0.20591,0.0002
5,1,0.34575,60
-5,1,4.186,7.5
5,1,0.40941,15
5,1,0.43328,120
-5,1,0.52825,120
-3,1,0.3551,0.0002
5,1,0.30426,60
5,1,0.29218,120
-3,1,0.23397,15
-1,3,0.5302,60
-3,1,0.60869,60
5,1,0.42856,30
1,1,0.51188,7.5
-5,3,0.51927,30
-1,3,0.44511,0.0002
-1,1,0.29665,0.0002
1,1,0.4793,120
5,1,0.33252,0.0001
-3,3,0.25904,0.0002
3,3,0.47417,60
1,1,0.42882,120
-5,1,0.29781,0.0002
1,3,0.38351,30
5,1,0.4228,30
3,3,0.45925,60
-1,3,0.47873,0.0002
-5,1,0.20576,15
-5,3,0.40606,60
3,3,0.25648,60
-3,1,0.23136,0.0001
5,3,0.6406,7.5
-3,3,0.5975,120
-1,1,0.51947,120
-5,3,0.50639,0.0002
-1,3,0.50376,15
-1,3,0.56976,30
-1,1,0.58813,0.0002
3,3,0.44273,30
3,3,0.56401,15
-1,1,0.79167,60
-3,1,0.26706,0.0001
3,3,0.50484,0.0002
5,1,0.4396,30
-3,1,0.5008,15
-3,3,0.55534,30
3,1,0.50508,120
-3,1,0.42434,120
-5,1,0.22716,15
1,1,0.58436,0.0001
-5,1,0.44631,7.5
1,3,0.52223,15
5,1,0.43211,0.0001
5,1,0.69137,0.0002
3,1,0.49733,0.0001
3,3,0.69106,7.5
1,1,0.60203,30
-3,3,0.49152,60
3,3,0.61619,30
3,1,0.29793,15
3,3,0.59127,15
1,1,0.66913,120
-1,1,0.50684,15
1,1,0.52418,30
5,3,0.45406,30
-1,1,0.44955,120
-5,1,0.49227,7.5
-3,1,0.48615,15
-5,3,0.43159,30
-5,3,0.50768,120
5,1,0.41255,7.5
-3,1,0.5352,15
5,1,0.64973,15
3,1,0.60456,7.5
-5,1,0.48368,0.0001
-1,1,0.49176,0.0002
-3,1,0.74593,15
-5,1,0.62152,0.0002
-1,1,0.54249,0.0002
1,3,0.47436,0.0002
-5,1,0.36324,7.5
1,1,0.4251,60
-5,1,0.43979,120
1,1,0.45045,120
-5,1,0.48889,0.0002
-1,3,0.57468,0.0002
5,3,0.51017,7.5
5,1,0.32638,30
-3,1,0.45572,15
-3,1,0.22442,7.5
-5,3,0.53661,60
1,3,0.4827,0.0002
-5,1,0.40588,7.5
5,1,0.48779,30
-5,1,0.3773,0.0002
-5,1,0.22668,60
-1,3,0.54781,120
3,1,0.50693,30
1,1,0.48407,0.0002
-1,1,0.43376,7.5
1,3,0.37868,60
-5,1,0.37708,7.5
1,1,0.49286,120
-3,1,0.54573,0.0001
1,3,0.5914,30
1,3,0.71322,60
1,3,0.43264,120
-3,1,0.34907,0.0002
-3,3,0.50338,60
-5,1,0.45273,0.0001
-1,3,0.52818,0.0002
5,3,0.48306,60
-3,3,0.43868,0.0002
-1,3,0.46472,60
5,3,0.58059,15
-5,3,0.57805,60
-1,1,0.78682,30
-1,1,0.51316,0.0001
-3,1,0.22842,0.0001
-5,1,0.48728,0.0001
-1,3,0.36601,60
1,3,0.49683,60
