NumTrials=630, DotSize = 2, Nx = 192, StimulusDuration = 5.000000e-01 
Disparity, MouseButton, ReactionTime, AlternationRate
-5,1,2.2739,0.0002
5,1,3.7875,60
3,3,7.1876,0.0002
5,1,9.1705,15
-3,1,1.0302,15
-3,3,3.3647,120
5,3,1.5911,7.5
-3,3,1.4266,15
-1,1,2.3771,0.0001
-5,3,2.0164,60
3,1,0.6929,0.0002
-1,1,1.0553,7.5
5,1,2.6165,7.5
3,1,0.78993,7.5
-1,3,1.5944,0.0001
5,1,7.0528,0.0001
-5,3,0.92343,15
-3,1,1.164,0.0001
5,3,1.1468,120
1,3,3.3502,60
5,3,1.0461,15
5,1,1.0177,0.0001
1,3,2.0835,120
-1,3,2.4017,7.5
-1,3,0.8147,0.0002
-1,3,2.0199,120
-3,3,1.8439,7.5
1,3,2.305,120
5,3,1.499,0.0001
1,1,1.007,120
3,1,1.242,7.5
-5,1,0.78926,7.5
5,3,1.2245,60
1,3,2.3636,7.5
3,3,0.97011,30
1,1,0.90409,7.5
-1,3,1.1261,0.0001
5,3,1.142,30
-3,1,2.0833,120
-3,3,1.8555,60
5,1,1.519,0.0001
3,3,1.0786,60
-1,1,0.79084,15
3,1,0.82844,7.5
5,1,1.7495,15
-5,3,0.84782,15
-5,1,1.3702,0.0002
-3,3,2.1203,15
1,3,1.1619,30
-3,3,0.66518,30
-5,1,9.3496,30
3,3,1.5282,7.5
3,3,1.1946,30
3,3,2.2131,60
-3,1,1.0328,60
-1,1,1.3956,30
-3,1,0.86541,7.5
1,3,0.86438,30
-3,1,0.93673,7.5
-3,3,2.4373,0.0002
-1,3,0.95872,0.0001
-5,3,0.75157,15
3,1,1.4784,30
-3,1,1.2994,60
5,3,0.67355,15
3,3,0.90902,30
-5,3,1.2626,60
-1,1,1.865,120
5,1,1.3334,120
5,1,0.79105,0.0002
-5,1,1.1332,0.0001
-5,3,0.93135,30
3,1,1.633,120
1,3,0.9924,0.0001
-5,1,0.70822,7.5
-3,1,2.2392,30
1,1,0.71304,30
1,1,0.99196,0.0002
-5,1,0.80991,30
